,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity
29/7/2020 22:00,72.2,106.73,106.58,27.26,54.9301,6.533,75.2009,13.7283,11.52,14.6697,86.5734
29/7/2020 22:30,72.29,106.78,106.84,27.27,55.045,6.55,75.2009,13.7283,11.5,14.7054,86.5825
29/7/2020 23:00,72.33,106.86,106.88,27.22,54.83,6.58,75.2009,13.7283,11.53,14.73,86.58
29/7/2020 23:30,72.275,106.72,107.01,27.22,54.83,6.59,75.27,13.976,11.5367,14.725,86.585
30/7/2020 0:00,72.415,106.63,106.73,27.2958,54.691,6.61,75.21,13.99,11.56,14.74,86.5899
30/7/2020 0:30,72.45,106.79,106.79,27.3,54.6817,6.6,75.21,13.99,11.58,14.74,86.58
30/7/2020 1:00,72.54,106.87,106.83,27.33,54.4601,6.601,75.21,13.99,11.59,14.74,86.58
30/7/2020 1:30,72.595,106.67,106.81,27.3199,54.52,6.61,75.21,13.99,11.6,14.74,86.58
30/7/2020 2:00,72.615,106.92,106.93,27.39,54.76,6.64,75.21,13.99,11.58,14.7036,86.58
30/7/2020 2:30,72.63,106.995,106.955,27.381,54.76,6.655,75.21,13.99,11.55,14.8399,86.59
30/7/2020 3:00,72.79,107.14,107.15,27.44,54.8999,6.67,75.21,13.99,11.61,14.7953,86.6
30/7/2020 3:30,72.73,107.14,106.88,27.48,54.88,6.7,75.21,13.99,11.68,14.7201,86.59
30/7/2020 4:00,72.73,107.14,106.88,27.48,54.88,6.7,75.4002,14.126,11.68,14.7582,86.59
30/7/2020 21:30,71.51,105.81,105.15,27.08,54.54,6.45,74.79,13.8289,11.4821,14.68,86.605
30/7/2020 22:00,71.78,105.92,105.38,27.1771,54.359,6.45,74.79,13.77,11.5009,14.55,86.61
30/7/2020 22:30,71.87,106.36,105.37,27.26,53.95,6.46,74.79,13.77,11.4818,14.6,86.601
30/7/2020 23:00,72.2,106.66,105.62,27.21,54.479,6.47,74.79,13.8399,11.57,14.65,86.605
30/7/2020 23:30,72.115,107.02,105.61,27.2072,54.52,6.5,74.79,13.84,11.5682,14.6745,86.6
31/7/2020 0:00,72.17,107.29,105.9,27.3347,54.56,6.525,74.79,13.84,11.58,14.68,86.6
31/7/2020 0:30,72.055,107.28,105.91,27.35,54.56,6.53,74.79,13.84,11.5381,14.7,86.605
31/7/2020 1:00,72.065,107.48,106.02,27.38,54.56,6.52,74.79,13.964,11.58,14.69,86.6
