,XLI US Equity,XLK US Equity,XLV US Equity,FXU US Equity,XTN US Equity,FXN US Equity,PSCC US Equity,ENFR US Equity,BIZD US Equity,DBB US Equity,SHY US Equity,UNP US Equity,UPS US Equity,CSX US Equity,FDX US Equity,NSC US Equity,LUV US Equity,DAL US Equity,ODFL US Equity,KSU US Equity,EXPD US Equity,CHRW US Equity,JBHT US Equity,UAL US Equity,AAL US Equity,ALK US Equity
7/10/2020 2:00,79.53,117.81,106.37,27.79,60.8313,5.92,76.355,12.75,12.15,14.99,86.42,203.662,171.8,78.27,264.235,217.75,39.265,32.48,190.99,182.155,90.72,103.87,132.395,36.865,13.355,38.12
7/10/2020 2:30,78.52,116.26,105.43,27.54,59.505,5.81,76.355,12.51,12.05,14.9119,86.425,201.65,170.2,77.26,260.93,214.82,37.97,31.3802,189.1,180.73,89.82,103.365,131.05,35.2799,12.725,36.83
7/10/2020 3:00,78.17,116.17,105.02,27.46,59.605,5.78,76.355,12.51,12.04,14.8673,86.425,200.22,170.195,76.76,261.363,214.37,37.875,31.23,189.21,179.98,89.765,103.79,131.02,35.14,12.631,36.46
7/10/2020 3:30,77.9,115.64,104.86,27.52,59.28,5.77,76.355,12.44,12,14.88,86.43,199.37,169.33,76.72,259.27,213.37,37.57,31.06,189.11,179.58,89.32,103.59,130.45,34.88,12.53,36.08
7/10/2020 4:00,77.9,115.64,104.89,27.52,59.3534,5.77,76.355,12.44,12,14.88,86.43,199.41,169.35,76.72,259.27,213.52,37.58,31.06,189.11,179.6,89.32,103.59,130.55,34.88,12.53,36.09
7/10/2020 21:30,79.365,117.165,105.82,27.601,60.6343,5.83,76.72,12.5001,12.11,15.23,86.415,203.83,172.61,77.68,266.7,217.03,38.46,32.1834,192.06,181.195,90.68,105.03,132.96,37.006,13.09,37.2466
7/10/2020 22:00,79.73,116.9,106.37,27.65,60.73,5.83,76.72,12.485,12.11,15.2,86.42,204.71,173.5,77.795,268.07,216.91,38.2622,31.88,193.26,181.41,91.285,105.34,133.58,36.5399,13.045,37.24
7/10/2020 22:30,79.545,117.28,106.53,27.5801,60.64,5.83,76.72,12.47,12.075,15.2,86.42,204.363,174.39,77.73,269.82,216.59,38.24,31.73,193.61,181.743,91.13,105.9,133.875,35.97,12.9438,37.06
7/10/2020 23:00,79.325,117.38,106.7,27.501,60.53,5.83,76.72,12.47,12.03,15.19,86.41,204.305,173.47,77.765,267.79,216.38,38.32,31.765,192.86,181.93,90.64,105.45,133.22,35.95,12.9322,37.04
7/10/2020 23:30,79.32,117.25,106.65,27.52,60.5441,5.85,76.72,12.46,12.025,15.18,86.42,204.031,173.12,77.57,268.12,216.04,38.485,31.85,192.62,182.24,90.525,105.51,133.1,36.0799,12.96,37.17
8/10/2020 0:00,79.22,117.1,106.5,27.42,60.3849,5.85,76.72,12.46,12.04,15.13,86.42,204.37,173.59,78.065,267.95,216.775,38.36,31.83,192.64,182.075,90.65,105.6,133.01,36.065,12.965,36.9304
8/10/2020 0:30,79.16,117.49,106.59,27.45,60.3849,5.86,76.72,12.485,12.035,15.14,86.42,204.08,173.695,78.07,267.55,216.27,38.48,31.98,192.91,181.95,90.65,105.64,132.79,36.4131,13.04,36.97
